	k	p	c	o	f	g	s
OTU_31521	k:Bacteria	p:TM6	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31519	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_31522	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Xanthobacteraceae	g:Variibacter	Unclassified
OTU_31524	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31527	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_31528	k:Bacteria	p:TM6	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31525	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	Unclassified
OTU_31526	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	g:Phormidium	Unclassified
OTU_31529	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31532	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Aeromicrobium	Unclassified
OTU_31533	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	Unclassified	Unclassified	Unclassified
OTU_31530	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31531	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_31538	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31536	k:Bacteria	p:Elusimicrobia	c:Elusimicrobia	o:Lineage_IIc	Unclassified	Unclassified	Unclassified
OTU_31535	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31534	k:Bacteria	p:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31537	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31539	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	Unclassified
OTU_31542	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_31543	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_31541	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31540	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	f:Acidimicrobiaceae	Unclassified	Unclassified
OTU_31544	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	Unclassified	Unclassified	Unclassified
OTU_31546	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31553	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31548	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31552	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31550	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_31549	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_31547	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_5	Unclassified	Unclassified	Unclassified
OTU_31545	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Planococcaceae	g:Sporosarcina	Unclassified
OTU_31551	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31555	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31557	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	Unclassified	Unclassified
OTU_31554	k:Bacteria	p:Acidobacteria	c:Acidobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31556	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_31558	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	Unclassified	Unclassified	Unclassified
OTU_31560	k:Bacteria	p:Chlamydiae	c:Chlamydiae	o:Chlamydiales	f:Parachlamydiaceae	Unclassified	Unclassified
OTU_31559	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	Unclassified
OTU_31561	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_31563	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:DA101_soil_group	Unclassified	Unclassified
OTU_31562	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31564	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_31568	k:Bacteria	p:Candidate_division_OP3	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31567	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:P3OB-42	Unclassified	Unclassified
OTU_31565	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	Unclassified
OTU_31569	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31570	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31566	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31571	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_17	Unclassified	Unclassified	Unclassified
OTU_31573	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Kribbella	Unclassified
OTU_31572	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31574	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31580	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31576	k:Bacteria	p:Elusimicrobia	c:Elusimicrobia	o:Lineage_IIc	Unclassified	Unclassified	Unclassified
OTU_31578	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_31581	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_31575	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_3	f:Unknown_Family	g:Bryobacter	Unclassified
OTU_31577	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Amycolatopsis	Unclassified
OTU_31579	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_31582	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	Unclassified	Unclassified	Unclassified
OTU_31583	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadales_Incertae_Sedis	Unclassified	Unclassified
OTU_31584	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_31585	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31591	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31588	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31589	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31587	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_31586	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Amycolatopsis	Unclassified
OTU_31590	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_31592	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31595	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Mucilaginibacter	Unclassified
OTU_31593	k:Bacteria	p:Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31597	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31596	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31594	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:0319-6M6	Unclassified	Unclassified
OTU_31600	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31598	k:Bacteria	p:Actinobacteria	c:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31599	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_31602	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	Unclassified	Unclassified	Unclassified
OTU_31601	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Geodermatophilaceae	g:Modestobacter	Unclassified
OTU_31604	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	Unclassified	Unclassified
OTU_31605	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31606	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31603	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	Unclassified	Unclassified	Unclassified
OTU_31608	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_31614	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31607	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	Unclassified	Unclassified
OTU_31616	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31612	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31609	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31610	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Pseudonocardia	Unclassified
OTU_31613	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31617	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31611	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_31618	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31615	k:Bacteria	p:WD272	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31619	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Adhaeribacter	Unclassified
OTU_31621	k:Bacteria	p:Cyanobacteria	c:Chloroplast	o:Euglena_viridis	Unclassified	Unclassified	Unclassified
OTU_31620	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_31622	k:Bacteria	p:Candidate_division_OP3	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31623	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_31625	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_31627	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_10	f:Sva0725	Unclassified	Unclassified
OTU_31624	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Acidothermaceae	g:Acidothermus	Unclassified
OTU_31626	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	Unclassified
OTU_31628	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_31630	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	Unclassified	Unclassified
OTU_31631	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:DB1-14	Unclassified	Unclassified	Unclassified
OTU_31632	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Gemmata	Unclassified
OTU_31629	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Burkholderia	Unclassified
OTU_31634	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31636	k:Bacteria	p:Verrucomicrobia	c:Verrucomicrobiae	o:Verrucomicrobiales	f:Verrucomicrobiaceae	Unclassified	Unclassified
OTU_31641	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31633	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_31639	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31637	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Gemmata	Unclassified
OTU_31635	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	Unclassified	Unclassified
OTU_31638	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_31642	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	Unclassified	Unclassified
OTU_31640	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Phyllobacteriaceae	g:Mesorhizobium	Unclassified
OTU_31643	k:Bacteria	p:Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31645	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_31644	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31647	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31649	k:Bacteria	p:Chloroflexi	c:Gitt-GS-136	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31646	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31648	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:JG30-KF-CM45	Unclassified	Unclassified	Unclassified
OTU_31653	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31650	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31651	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	Unclassified	Unclassified	Unclassified
OTU_31652	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	Unclassified	Unclassified
OTU_31655	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_31658	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31654	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_31657	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	Unclassified	Unclassified	Unclassified
OTU_31656	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	Unclassified	Unclassified
OTU_31661	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31659	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_31660	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	Unclassified	Unclassified
OTU_31662	k:Bacteria	p:Actinobacteria	c:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31666	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31663	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_31665	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31664	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Ruminococcaceae	g:Ruminococcaceae_UCG-010	Unclassified
OTU_31668	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillaceae	Unclassified	Unclassified
OTU_31667	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31670	k:Archaea	p:Thaumarchaeota	c:Soil_Crenarchaeotic	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31669	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31671	k:Bacteria	p:Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31675	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31672	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Hyphomicrobiaceae	Unclassified	Unclassified
OTU_31673	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	Unclassified	Unclassified	Unclassified
OTU_31674	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	Unclassified	Unclassified	Unclassified
OTU_31677	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:JG30-KF-CM45	Unclassified	Unclassified	Unclassified
OTU_31676	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:DA111	Unclassified	Unclassified
OTU_31678	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:Sphaerobacterales	f:Sphaerobacteraceae	g:Nitrolancea	Unclassified
OTU_31679	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:27F-1492R	Unclassified	Unclassified
OTU_31680	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Cystobacteraceae	g:Anaeromyxobacter	Unclassified
OTU_31686	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31681	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_31684	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Holosporaceae	Unclassified	Unclassified
OTU_31683	k:Bacteria	p:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31682	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31685	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_31693	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31688	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31689	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:AT425-EubC11_terrestrial_group	Unclassified	Unclassified	Unclassified
OTU_31687	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Patulibacteraceae	g:Patulibacter	Unclassified
OTU_31690	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:RB41	Unclassified	Unclassified
OTU_31691	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31695	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31692	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_31694	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31696	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Ellin6055	Unclassified	Unclassified
OTU_31697	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Rugosimonospora_sp._260305	Unclassified
OTU_31699	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiales_Incertae_Sedis	g:Phreatobacter	Unclassified
OTU_31698	k:Bacteria	p:Actinobacteria	c:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31700	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	Unclassified	Unclassified
OTU_31701	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31702	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Oligoflexales	f:Oligoflexaceae	Unclassified	Unclassified
OTU_31707	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31703	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31704	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	g:Streptomyces	Unclassified
OTU_31705	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	Unclassified	Unclassified	Unclassified
OTU_31706	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_31712	k:Bacteria	p:SM2F11	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31711	k:Bacteria	p:Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31714	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31709	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:DA111	Unclassified	Unclassified
OTU_31708	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_31710	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	Unclassified	Unclassified	Unclassified
OTU_31713	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	Unclassified
OTU_31715	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_31717	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	Unclassified
OTU_31719	k:Bacteria	p:Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31716	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31718	k:Bacteria	p:Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31723	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_31721	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31727	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31720	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Blautia	Unclassified
OTU_31722	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_31725	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:DA101_soil_group	Unclassified	Unclassified
OTU_31724	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	Unclassified	Unclassified	Unclassified
OTU_31728	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_31734	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31726	k:Bacteria	p:Chlamydiae	c:Chlamydiae	o:Chlamydiales	Unclassified	Unclassified	Unclassified
OTU_31730	k:Bacteria	p:Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31729	k:Bacteria	p:Verrucomicrobia	c:Opitutae	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31737	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31739	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31736	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Planctomyces	Unclassified
OTU_31731	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:NKB5	Unclassified	Unclassified	Unclassified
OTU_31732	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_31735	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	Unclassified
OTU_31733	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_7	Unclassified	Unclassified	Unclassified
