	k	p	c	o	f	g	s
OTU_2863	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_2865	k:Bacteria	p:Firmicutes	c:Erysipelotrichia	o:Erysipelotrichales	f:Erysipelotrichaceae	g:Asteroleplasma	Unclassified
OTU_2867	k:Bacteria	p:Verrucomicrobia	c:Verrucomicrobiae	o:Verrucomicrobiales	f:Verrucomicrobiaceae	g:Brevifollis	s:Brevifollis_gellanilyticus
OTU_2869	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2868	k:Bacteria	p:Armatimonadetes	c:Chthonomonadetes	o:Chthonomonadales	Unclassified	Unclassified	Unclassified
OTU_2866	k:Bacteria	p:Actinobacteria	c:MB-A2-108	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2864	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Alcaligenaceae	g:Advenella	s:Alcaligenes_sp.
OTU_2871	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_2870	k:Bacteria	p:Planctomycetes	c:OM190	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2872	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:Bdellovibrio	s:unidentified
OTU_2873	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:SC-I-84	Unclassified	Unclassified	Unclassified
OTU_2876	k:Bacteria	p:Bacteroidetes	c:Bacteroidia	o:Bacteroidales	f:Rikenellaceae	g:Alistipes	Unclassified
OTU_2874	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2878	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2879	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:DA101_soil_group	Unclassified	Unclassified
OTU_2877	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:OM27_clade	Unclassified
OTU_2875	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae	g:Paenibacillus	Unclassified
OTU_2880	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	Unclassified	Unclassified
OTU_2881	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:SC-I-84	Unclassified	Unclassified	Unclassified
OTU_2882	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	s:Nocardioides_alkalitolerans
OTU_2884	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2883	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Cystobacteraceae	g:Anaeromyxobacter	Unclassified
OTU_2886	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	Unclassified	Unclassified
OTU_2888	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	Unclassified	Unclassified
OTU_2887	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Solimonadaceae	g:Polycyclovorans	Unclassified
OTU_2889	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2885	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae	g:Bacillus	s:Bacillus_sp._R-26208
OTU_2890	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:JG34-KF-361	Unclassified	Unclassified
OTU_2892	k:Bacteria	p:Fibrobacteres	c:Fibrobacteria	o:Fibrobacterales	f:Fibrobacteraceae	g:possible_genus_04	Unclassified
OTU_2893	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Gemmata	Unclassified
OTU_2891	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2899	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2894	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2895	k:Bacteria	p:Bacteroidetes	c:Flavobacteriia	o:Flavobacteriales	f:Cryomorphaceae	g:Fluviicola	Unclassified
OTU_2896	k:Bacteria	p:Planctomycetes	c:OM190	Unclassified	Unclassified	Unclassified	Unclassified
